dates,supporters,leaders,volunteers,total
2017-09-30,6193,146,310,6649
2017-12-31,6284,175,397,6856
2018-03-31,6277,179,440,6896
2018-06-30,6392,184,461,7037
2018-09-30,6704,187,511,7402
2018-12-31,7009,190,590,7789
2019-03-31,7160,196,629,7985
2019-06-30,8800,268,709,9777
2019-09-30,9386,270,789,10445
2019-12-31,10064,275,944,11283
2020-03-31,10299,283,982,11564
