dates,supporters,leaders,volunteers,total
2017-09-30,4631,55,290,4976
2017-12-31,4943,61,353,5357
2018-03-31,4846,61,358,5265
2018-06-30,4976,63,367,5406
2018-09-30,5937,49,359,6345
2018-12-31,6475,56,370,6901
2019-03-31,6855,61,399,7315
2019-06-30,8195,68,410,8673
2019-09-30,8303,79,426,8808
2019-12-31,8627,89,444,9160
2020-03-31,8703,84,454,9241
